Customer ID,Name,Surname,Gender,Age,Region,Job Classification,Date Joined,Balance,DateKey
100001049,Emma,Oliver,Female,30,England,White Collar,01.Jul.15,51090.19,7/1/2015
100001050,Eric,MacLeod,Male,30,England,White Collar,01.Jul.15,26412.29,7/1/2015
100001051,Jacob,Bell,Male,47,England,White Collar,01.Jul.15,14703.33,7/1/2015
200001052,Evan,Davidson,Male,48,Scotland,Blue Collar,01.Jul.15,73268.73,7/1/2015
200001053,Alan,Ogden,Male,38,Scotland,Blue Collar,01.Jul.15,26844.18,7/1/2015
100001054,Nicholas,Churchill,Male,43,England,White Collar,02.Jul.15,35417.02,7/2/2015
100001055,Kimberly,Mitchell,Female,40,England,White Collar,02.Jul.15,17546.36,7/2/2015
100001056,Keith,McDonald,Male,36,England,White Collar,02.Jul.15,53344.6,7/2/2015
100001057,Diana,Ross,Female,26,England,Other,02.Jul.15,10054.71,7/2/2015
100001058,Julia,Mackay,Female,36,England,White Collar,02.Jul.15,49717.13,7/2/2015
200001059,Jan,Hamilton,Female,51,Scotland,Blue Collar,02.Jul.15,7573.67,7/2/2015
200001060,Julia,Mathis,Female,46,Scotland,Other,02.Jul.15,32324.22,7/2/2015
200001061,Joshua,Kerr,Male,49,Scotland,Other,02.Jul.15,69791.57,7/2/2015
200001062,Dan,Alsop,Male,54,Scotland,Other,02.Jul.15,16280.16,7/2/2015
300001063,Dorothy,Vaughan,Female,37,Wales,White Collar,02.Jul.15,34072.27,7/2/2015
300001064,Austin,Vance,Male,42,Wales,Other,02.Jul.15,11609.33,7/2/2015
100001065,Joan,Mills,Female,30,England,White Collar,03.Jul.15,44599.53,7/3/2015
100001066,Michael,MacDonald,Male,51,England,White Collar,03.Jul.15,41266.34,7/3/2015
100001067,Faith,Vance,Female,28,England,Blue Collar,03.Jul.15,28581.78,7/3/2015
100001068,Donna,Pullman,Female,35,England,Blue Collar,03.Jul.15,15477.05,7/3/2015
200001069,Benjamin,Hemmings,Male,57,Scotland,Blue Collar,03.Jul.15,60086.6,7/3/2015
200001070,John,Duncan,Male,62,Scotland,Blue Collar,03.Jul.15,55526.53,7/3/2015
200001071,Sebastian,Lambert,Male,51,Scotland,White Collar,03.Jul.15,41097.46,7/3/2015
400001072,Diane,Short,Female,39,Northern Ireland,Other,03.Jul.15,84480.9,7/3/2015
100001073,Harry,May,Male,37,England,White Collar,04.Jul.15,14866.88,7/4/2015
100001074,Jack,Metcalfe,Male,37,England,White Collar,04.Jul.15,50527.47,7/4/2015
100001075,Anne,Nolan,Female,27,England,Blue Collar,04.Jul.15,27565.54,7/4/2015
100001076,Edward,Gill,Male,32,England,Blue Collar,04.Jul.15,78712.11,7/4/2015
200001077,Alexander,Hardacre,Male,48,Scotland,Other,04.Jul.15,40487.71,7/4/2015
200001078,Isaac,Arnold,Male,47,Scotland,Blue Collar,04.Jul.15,59432.06,7/4/2015
300001079,Phil,Hudson,Male,36,Wales,Blue Collar,04.Jul.15,6467.89,7/4/2015
300001080,Adam,Ince,Male,44,Wales,Blue Collar,04.Jul.15,37449.47,7/4/2015
300001081,Irene,Ferguson,Female,38,Wales,White Collar,04.Jul.15,15926.91,7/4/2015
400001082,Lisa,Nolan,Female,32,Northern Ireland,Other,04.Jul.15,20451.86,7/4/2015
100001083,Katherine,Gill,Female,41,England,White Collar,05.Jul.15,81089.55,7/5/2015
100001084,Molly,Wallace,Female,44,England,White Collar,05.Jul.15,5032.09,7/5/2015
100001085,Anne,Kerr,Female,41,England,White Collar,05.Jul.15,40523.18,7/5/2015
200001086,Luke,Scott,Male,47,Scotland,Blue Collar,05.Jul.15,1948.26,7/5/2015
200001087,Virginia,Greene,Female,59,Scotland,Other,05.Jul.15,44326.6,7/5/2015
200001088,Blake,Peters,Male,43,Scotland,Blue Collar,05.Jul.15,16457.71,7/5/2015
100001089,Robert,Howard,Male,36,England,Other,06.Jul.15,22756.57,7/6/2015
100001090,Brian,Metcalfe,Male,25,England,Other,06.Jul.15,44277.62,7/6/2015
100001091,Julia,Greene,Female,45,England,White Collar,06.Jul.15,57797.68,7/6/2015
100001092,Alexandra,Gill,Female,35,England,White Collar,06.Jul.15,1827.85,7/6/2015
100001093,Robert,Rampling,Male,31,England,White Collar,06.Jul.15,71267.85,7/6/2015
100001094,Amanda,Berry,Female,30,England,Other,06.Jul.15,2730.89,7/6/2015
100001095,Pippa,Nash,Female,45,England,Other,06.Jul.15,9976.92,7/6/2015
100001096,Rebecca,Bell,Female,35,England,Blue Collar,06.Jul.15,6083.13,7/6/2015
100001097,Adam,Vance,Male,36,England,Other,06.Jul.15,88451.81,7/6/2015
100001098,Chloe,Martin,Female,24,England,Blue Collar,06.Jul.15,77514.08,7/6/2015
200001099,Anthony,Vance,Male,48,Scotland,White Collar,06.Jul.15,66005.41,7/6/2015
200001100,Alan,North,Male,48,Scotland,Other,06.Jul.15,77332.09,7/6/2015
200001101,Eric,Parr,Male,56,Scotland,Blue Collar,06.Jul.15,3516.35,7/6/2015
200001102,Sam,Murray,Male,60,Scotland,Other,06.Jul.15,22067.63,7/6/2015
200001103,Alan,Howard,Male,42,Scotland,Other,06.Jul.15,28676.72,7/6/2015
300001104,Stephen,Parr,Male,44,Wales,Blue Collar,06.Jul.15,8365.04,7/6/2015
300001105,Ava,Vaughan,Female,33,Wales,Blue Collar,06.Jul.15,15196.68,7/6/2015
100001106,Victoria,Miller,Female,29,England,Blue Collar,07.Jul.15,55720.37,7/7/2015
100001107,Sam,Rutherford,Male,33,England,White Collar,07.Jul.15,96379.13,7/7/2015
100001108,Keith,Rutherford,Male,27,England,White Collar,07.Jul.15,45374.89,7/7/2015
100001109,Natalie,Alsop,Female,33,England,White Collar,07.Jul.15,36425.21,7/7/2015
100001110,Jack,Scott,Male,35,England,White Collar,07.Jul.15,66122.89,7/7/2015
100001111,Angela,Howard,Female,26,England,White Collar,07.Jul.15,21988.77,7/7/2015
100001112,Sonia,Clarkson,Female,33,England,White Collar,07.Jul.15,84064.01,7/7/2015
100001113,Olivia,Rees,Female,42,England,Other,07.Jul.15,107366.02,7/7/2015
100001114,Richard,Hodges,Male,33,England,White Collar,07.Jul.15,59890,7/7/2015
200001115,David,Bower,Male,48,Scotland,Blue Collar,07.Jul.15,36171.83,7/7/2015
200001116,Sam,Sutherland,Male,58,Scotland,Blue Collar,07.Jul.15,17953.21,7/7/2015
200001117,Angela,Scott,Female,42,Scotland,Other,07.Jul.15,62850.82,7/7/2015
200001118,Oliver,Newman,Male,61,Scotland,Other,07.Jul.15,40989.59,7/7/2015
300001119,Sam,Black,Male,35,Wales,Blue Collar,07.Jul.15,45240.82,7/7/2015
300001120,Liam,Nolan,Male,38,Wales,White Collar,07.Jul.15,24965.41,7/7/2015
100001121,Grace,Hemmings,Female,29,England,White Collar,08.Jul.15,25137.17,7/8/2015
